timestamp,temp_c,util_pct,sm_mhz,mem_mhz,power_w,throttle
2026/06/28 22:02:54.256, 54, 89 %, 3210 MHz, 15598 MHz, 241.86 W, 0x0000000000000000
2026/06/28 22:02:59.388, 53, 80 %, 3210 MHz, 15598 MHz, 235.25 W, 0x0000000000000000
2026/06/28 22:03:04.492, 49, 70 %, 3217 MHz, 15598 MHz, 222.29 W, 0x0000000000000000
2026/06/28 22:03:09.567, 52, 71 %, 3210 MHz, 15598 MHz, 234.07 W, 0x0000000000000000
2026/06/28 22:03:14.652, 51, 72 %, 3210 MHz, 15598 MHz, 232.89 W, 0x0000000000000000
2026/06/28 22:03:19.751, 52, 76 %, 3210 MHz, 15598 MHz, 223.59 W, 0x0000000000000000
2026/06/28 22:03:24.852, 57, 92 %, 3202 MHz, 15598 MHz, 265.28 W, 0x0000000000000000
2026/06/28 22:03:29.925, 57, 97 %, 3210 MHz, 15598 MHz, 265.04 W, 0x0000000000000000
2026/06/28 22:03:34.990, 54, 83 %, 3210 MHz, 15598 MHz, 264.03 W, 0x0000000000000000
2026/06/28 22:03:40.096, 55, 81 %, 3210 MHz, 15598 MHz, 255.26 W, 0x0000000000000000
2026/06/28 22:03:45.223, 56, 85 %, 3210 MHz, 15598 MHz, 260.47 W, 0x0000000000000000
2026/06/28 22:03:50.373, 48, 48 %, 3217 MHz, 15598 MHz, 197.88 W, 0x0000000000000000
2026/06/28 22:03:55.463, 58, 97 %, 3202 MHz, 15598 MHz, 253.26 W, 0x0000000000000000
2026/06/28 22:04:00.560, 54, 77 %, 3210 MHz, 15598 MHz, 251.19 W, 0x0000000000000000
2026/06/28 22:04:05.682, 55, 92 %, 3210 MHz, 15598 MHz, 252.50 W, 0x0000000000000000
2026/06/28 22:04:10.804, 56, 94 %, 3210 MHz, 15598 MHz, 250.97 W, 0x0000000000000000
2026/06/28 22:04:15.920, 55, 81 %, 3202 MHz, 15598 MHz, 229.55 W, 0x0000000000000000
2026/06/28 22:04:21.015, 57, 90 %, 3210 MHz, 15598 MHz, 254.70 W, 0x0000000000000000
2026/06/28 22:04:26.108, 55, 82 %, 3210 MHz, 15598 MHz, 241.84 W, 0x0000000000000000
2026/06/28 22:04:31.205, 56, 88 %, 3210 MHz, 15598 MHz, 257.54 W, 0x0000000000000000
2026/06/28 22:04:36.354, 55, 78 %, 3202 MHz, 15598 MHz, 239.79 W, 0x0000000000000000
2026/06/28 22:04:41.487, 52, 69 %, 3202 MHz, 15598 MHz, 219.48 W, 0x0000000000000000
2026/06/28 22:04:46.590, 50, 67 %, 3202 MHz, 15598 MHz, 214.92 W, 0x0000000000000000
2026/06/28 22:04:51.690, 52, 72 %, 3202 MHz, 15598 MHz, 222.32 W, 0x0000000000000000
2026/06/28 22:04:56.784, 56, 71 %, 3202 MHz, 15598 MHz, 218.68 W, 0x0000000000000000
2026/06/28 22:05:01.900, 54, 70 %, 3202 MHz, 15598 MHz, 221.67 W, 0x0000000000000000
2026/06/28 22:05:07.038, 55, 71 %, 3202 MHz, 15598 MHz, 225.86 W, 0x0000000000000000
2026/06/28 22:05:12.138, 55, 79 %, 3202 MHz, 15598 MHz, 224.33 W, 0x0000000000000000
2026/06/28 22:05:17.227, 55, 72 %, 3202 MHz, 15598 MHz, 217.27 W, 0x0000000000000000
2026/06/28 22:05:22.345, 54, 68 %, 3202 MHz, 15598 MHz, 227.25 W, 0x0000000000000000
2026/06/28 22:05:27.432, 55, 70 %, 3202 MHz, 15598 MHz, 218.77 W, 0x0000000000000000
2026/06/28 22:05:32.542, 54, 78 %, 3202 MHz, 15598 MHz, 229.15 W, 0x0000000000000000
2026/06/28 22:05:37.633, 54, 75 %, 3202 MHz, 15598 MHz, 213.49 W, 0x0000000000000000
2026/06/28 22:05:42.744, 56, 76 %, 3202 MHz, 15598 MHz, 222.30 W, 0x0000000000000000
2026/06/28 22:05:47.841, 55, 69 %, 3202 MHz, 15598 MHz, 222.66 W, 0x0000000000000000
2026/06/28 22:05:52.950, 54, 76 %, 3202 MHz, 15598 MHz, 217.34 W, 0x0000000000000000
2026/06/28 22:05:58.065, 54, 69 %, 3210 MHz, 15598 MHz, 221.65 W, 0x0000000000000000
2026/06/28 22:06:03.157, 55, 73 %, 3202 MHz, 15598 MHz, 232.07 W, 0x0000000000000000
2026/06/28 22:06:08.277, 56, 78 %, 3202 MHz, 15598 MHz, 222.38 W, 0x0000000000000000
2026/06/28 22:06:13.382, 52, 61 %, 3202 MHz, 15598 MHz, 213.81 W, 0x0000000000000000
2026/06/28 22:06:18.504, 57, 80 %, 3202 MHz, 15598 MHz, 210.36 W, 0x0000000000000000
2026/06/28 22:06:23.633, 55, 72 %, 3202 MHz, 15598 MHz, 224.24 W, 0x0000000000000000
2026/06/28 22:06:28.774, 54, 78 %, 3202 MHz, 15598 MHz, 208.25 W, 0x0000000000000000
2026/06/28 22:06:33.902, 56, 68 %, 3202 MHz, 15598 MHz, 222.65 W, 0x0000000000000000
2026/06/28 22:06:39.027, 55, 76 %, 3202 MHz, 15598 MHz, 216.47 W, 0x0000000000000000
2026/06/28 22:06:44.116, 53, 65 %, 3202 MHz, 15598 MHz, 216.85 W, 0x0000000000000000
2026/06/28 22:06:49.308, 53, 66 %, 3210 MHz, 15598 MHz, 211.54 W, 0x0000000000000000
2026/06/28 22:06:54.445, 53, 69 %, 3202 MHz, 15598 MHz, 210.43 W, 0x0000000000000000
2026/06/28 22:06:59.551, 55, 63 %, 3210 MHz, 15598 MHz, 210.84 W, 0x0000000000000000
2026/06/28 22:07:04.649, 55, 70 %, 3210 MHz, 15598 MHz, 208.16 W, 0x0000000000000000
2026/06/28 22:07:09.768, 57, 75 %, 3202 MHz, 15598 MHz, 210.65 W, 0x0000000000000000
2026/06/28 22:07:14.920, 54, 73 %, 3202 MHz, 15598 MHz, 208.30 W, 0x0000000000000000
2026/06/28 22:07:20.038, 58, 80 %, 3202 MHz, 15598 MHz, 231.45 W, 0x0000000000000000
2026/06/28 22:07:25.134, 58, 88 %, 3210 MHz, 15598 MHz, 253.93 W, 0x0000000000000000
2026/06/28 22:07:30.260, 58, 84 %, 3202 MHz, 15598 MHz, 258.26 W, 0x0000000000000000
2026/06/28 22:07:35.366, 58, 92 %, 3202 MHz, 15598 MHz, 269.16 W, 0x0000000000000000
2026/06/28 22:07:40.475, 57, 84 %, 3202 MHz, 15598 MHz, 245.82 W, 0x0000000000000000
2026/06/28 22:07:45.576, 57, 93 %, 3202 MHz, 15598 MHz, 250.05 W, 0x0000000000000000
2026/06/28 22:07:50.702, 55, 79 %, 3202 MHz, 15598 MHz, 255.76 W, 0x0000000000000000
2026/06/28 22:07:55.778, 58, 97 %, 3210 MHz, 15598 MHz, 262.52 W, 0x0000000000000000
2026/06/28 22:08:00.933, 55, 92 %, 3210 MHz, 15598 MHz, 251.83 W, 0x0000000000000000
2026/06/28 22:08:06.063, 54, 86 %, 3210 MHz, 15598 MHz, 242.06 W, 0x0000000000000000
2026/06/28 22:08:11.161, 53, 84 %, 3210 MHz, 15598 MHz, 253.68 W, 0x0000000000000000
2026/06/28 22:08:16.285, 57, 97 %, 3210 MHz, 15598 MHz, 242.62 W, 0x0000000000000000
2026/06/28 22:08:21.440, 56, 86 %, 3210 MHz, 15598 MHz, 235.60 W, 0x0000000000000000
2026/06/28 22:08:26.514, 56, 95 %, 3210 MHz, 15598 MHz, 243.08 W, 0x0000000000000000
2026/06/28 22:08:31.610, 59, 97 %, 3210 MHz, 15598 MHz, 258.53 W, 0x0000000000000000
2026/06/28 22:08:36.732, 56, 91 %, 3210 MHz, 15598 MHz, 253.94 W, 0x0000000000000000
2026/06/28 22:08:41.895, 55, 83 %, 3210 MHz, 15598 MHz, 238.93 W, 0x0000000000000000
2026/06/28 22:08:47.010, 53, 70 %, 3210 MHz, 15598 MHz, 212.38 W, 0x0000000000000000
2026/06/28 22:08:52.106, 50, 69 %, 3210 MHz, 15598 MHz, 192.31 W, 0x0000000000000000
2026/06/28 22:08:57.189, 55, 84 %, 3202 MHz, 15598 MHz, 229.25 W, 0x0000000000000000
2026/06/28 22:09:02.285, 56, 91 %, 3202 MHz, 15598 MHz, 249.15 W, 0x0000000000000000
2026/06/28 22:09:07.416, 58, 97 %, 3202 MHz, 15598 MHz, 259.13 W, 0x0000000000000000
2026/06/28 22:09:12.530, 57, 88 %, 3202 MHz, 15598 MHz, 231.32 W, 0x0000000000000000
2026/06/28 22:09:17.612, 60, 97 %, 3195 MHz, 15598 MHz, 291.69 W, 0x0000000000000000
2026/06/28 22:09:22.692, 56, 97 %, 3202 MHz, 15598 MHz, 291.35 W, 0x0000000000000000
2026/06/28 22:09:27.759, 56, 97 %, 3195 MHz, 15598 MHz, 292.72 W, 0x0000000000000000
2026/06/28 22:09:32.831, 60, 97 %, 3180 MHz, 15598 MHz, 325.73 W, 0x0000000000000000
2026/06/28 22:09:37.911, 57, 97 %, 3187 MHz, 15598 MHz, 307.01 W, 0x0000000000000000
2026/06/28 22:09:42.983, 58, 97 %, 3187 MHz, 15598 MHz, 303.46 W, 0x0000000000000000
2026/06/28 22:09:48.048, 59, 97 %, 3187 MHz, 15598 MHz, 314.01 W, 0x0000000000000000
2026/06/28 22:09:53.112, 58, 97 %, 3187 MHz, 15598 MHz, 312.80 W, 0x0000000000000000
2026/06/28 22:09:58.186, 57, 97 %, 3187 MHz, 15598 MHz, 320.39 W, 0x0000000000000000
2026/06/28 22:10:03.250, 60, 97 %, 3180 MHz, 15598 MHz, 321.98 W, 0x0000000000000000
2026/06/28 22:10:08.311, 59, 97 %, 3187 MHz, 15598 MHz, 312.48 W, 0x0000000000000000
2026/06/28 22:10:13.376, 59, 97 %, 3187 MHz, 15598 MHz, 321.16 W, 0x0000000000000000
2026/06/28 22:10:18.433, 57, 97 %, 3195 MHz, 15598 MHz, 289.82 W, 0x0000000000000000
2026/06/28 22:10:23.492, 51, 77 %, 3195 MHz, 15598 MHz, 291.66 W, 0x0000000000000000
2026/06/28 22:10:28.575, 55, 97 %, 3202 MHz, 15598 MHz, 282.50 W, 0x0000000000000000
2026/06/28 22:10:33.650, 56, 97 %, 3195 MHz, 15598 MHz, 283.46 W, 0x0000000000000000
2026/06/28 22:10:38.709, 56, 98 %, 3195 MHz, 15598 MHz, 294.62 W, 0x0000000000000000
2026/06/28 22:10:43.773, 55, 97 %, 3210 MHz, 15598 MHz, 170.85 W, 0x0000000000000000
2026/06/28 22:10:48.839, 58, 97 %, 3195 MHz, 15598 MHz, 300.35 W, 0x0000000000000000
2026/06/28 22:10:53.896, 59, 97 %, 3195 MHz, 15598 MHz, 304.48 W, 0x0000000000000000
2026/06/28 22:10:58.960, 59, 97 %, 3195 MHz, 15598 MHz, 305.03 W, 0x0000000000000000
2026/06/28 22:11:04.024, 58, 97 %, 3195 MHz, 15598 MHz, 304.98 W, 0x0000000000000000
2026/06/28 22:11:09.095, 58, 97 %, 3195 MHz, 15598 MHz, 304.71 W, 0x0000000000000000
2026/06/28 22:11:14.162, 57, 97 %, 3195 MHz, 15598 MHz, 305.14 W, 0x0000000000000000
2026/06/28 22:11:19.224, 57, 97 %, 3195 MHz, 15598 MHz, 305.35 W, 0x0000000000000000
2026/06/28 22:11:24.287, 58, 97 %, 3195 MHz, 15598 MHz, 305.36 W, 0x0000000000000000
2026/06/28 22:11:29.343, 58, 97 %, 3195 MHz, 15598 MHz, 305.24 W, 0x0000000000000000
2026/06/28 22:11:34.400, 58, 97 %, 3195 MHz, 15598 MHz, 304.63 W, 0x0000000000000000
2026/06/28 22:11:39.464, 58, 97 %, 3195 MHz, 15598 MHz, 304.96 W, 0x0000000000000000
2026/06/28 22:11:44.527, 56, 97 %, 3195 MHz, 15598 MHz, 304.45 W, 0x0000000000000000
2026/06/28 22:11:49.614, 57, 97 %, 3195 MHz, 15598 MHz, 303.86 W, 0x0000000000000000
2026/06/28 22:11:54.673, 56, 97 %, 3202 MHz, 15598 MHz, 291.73 W, 0x0000000000000000
2026/06/28 22:11:59.733, 56, 87 %, 3202 MHz, 15598 MHz, 276.68 W, 0x0000000000000000
2026/06/28 22:12:04.802, 56, 91 %, 3202 MHz, 15598 MHz, 286.88 W, 0x0000000000000000
2026/06/28 22:12:09.867, 57, 96 %, 3202 MHz, 15598 MHz, 287.77 W, 0x0000000000000000
2026/06/28 22:12:14.936, 58, 95 %, 3202 MHz, 15598 MHz, 293.84 W, 0x0000000000000000
2026/06/28 22:12:20.005, 57, 94 %, 3202 MHz, 15598 MHz, 295.07 W, 0x0000000000000000
2026/06/28 22:12:25.064, 53, 68 %, 3202 MHz, 15598 MHz, 268.89 W, 0x0000000000000000
2026/06/28 22:12:30.124, 54, 74 %, 3202 MHz, 15598 MHz, 224.69 W, 0x0000000000000000
2026/06/28 22:12:35.192, 58, 83 %, 3202 MHz, 15598 MHz, 271.58 W, 0x0000000000000000
2026/06/28 22:12:40.253, 56, 81 %, 3202 MHz, 15598 MHz, 265.78 W, 0x0000000000000000
2026/06/28 22:12:45.320, 58, 89 %, 3202 MHz, 15598 MHz, 282.02 W, 0x0000000000000000
2026/06/28 22:12:50.383, 58, 94 %, 3202 MHz, 15598 MHz, 289.27 W, 0x0000000000000000
2026/06/28 22:12:55.445, 57, 94 %, 3202 MHz, 15598 MHz, 300.44 W, 0x0000000000000000
2026/06/28 22:13:00.531, 56, 90 %, 3202 MHz, 15598 MHz, 286.13 W, 0x0000000000000000
2026/06/28 22:13:05.597, 59, 98 %, 3202 MHz, 15598 MHz, 304.15 W, 0x0000000000000000
