capture_date_utc,product_id,product_label,kit_capacity_gb,title,seller,price_usd,usd_per_gb,verification_status
2026-08-14,corsair-dominator-titanium-6000c30,Corsair Dominator Titanium 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - Dominator Titanium 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CMP32GX5M2B6000C30 - Black,Best Buy,649.99,20.312,discovery_only
2026-08-14,corsair-dominator-titanium-6000c30,Corsair Dominator Titanium 32GB (2x16GB) DDR5-6000 CL30,32,Corsair Dominator Titanium RGB DDR5 32GB (2x16GB) 6000MHz CL30 Memory,Newegg.com,649.99,20.312,discovery_only
2026-08-14,corsair-dominator-titanium-6000c30,Corsair Dominator Titanium 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Dominator Titanium 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CMP32GX5M2B6000C30W,Newegg.com,649.99,20.312,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,"CORSAIR 32GB VENGEANCE RGB DDR5 6000 MT/s DIMM Memory Kit (Gray, 2 x 16GB)",B&H Photo-Video-Audio,449.99,14.062,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - VENGEANCE 32GB (2x16GB) DDR5 6000MHz Z30 AMD EXPO & Intel XMP UDIMM Desktop Memory - Black,Best Buy,499.99,15.625,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,Corsair Vengeance DDR5 32GB (2x16GB) 6000MT/s Memory Kit,Newegg.com,505.99,15.812,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,Corsair CMK32GX5M2B6000C30 VENGEANCE DDR5 32GB (2x16GB) Memory Kit 6000MT/s 30-36-36-76 XMP 3.0 1.4V Black,Central Computers,529.99,16.562,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30 - Black,Best Buy,539.99,16.875,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30,Newegg.com,539.99,16.875,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30,Newegg.com,539.99,16.875,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,Newegg.com,549.99,17.187,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30WCB - Whit,Newegg.com,599.99,18.75,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30W - White,Best Buy,604.99,18.906,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000Z30W,Newegg.com,604.99,18.906,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000Z30W - White,Best Buy,619.99,19.375,discovery_only
2026-08-14,corsair-vengeance-6000c30,Corsair Vengeance 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000C30W,Newegg.com,619.99,19.375,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,"CORSAIR 32GB VENGEANCE RGB DDR5 6000 MT/s DIMM Memory Kit (Gray, 2 x 16GB)",B&H Photo-Video-Audio,449.99,14.062,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - VENGEANCE RGB DDR5 32GB (2 x 16GB) DDR5 6000MHz CL38-44-44-96 1.35V Intel XMP & AMD EXPO - Gray,Best Buy,449.99,14.062,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36W,Newegg.com,489.99,15.312,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,Newegg.com,549.99,17.187,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30WCB - Whit,Newegg.com,599.99,18.75,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR - Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000Z30W - White,Best Buy,619.99,19.375,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30CB - Gray,Newegg.com,619.99,19.375,discovery_only
2026-08-14,corsair-vengeance-rgb-6000c30,Corsair Vengeance RGB 32GB (2x16GB) DDR5-6000 CL30,32,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000C30W,Newegg.com,619.99,19.375,discovery_only
