capture_date_utc,method_version,gpu,driver,ollama_version,model,model_digest12,parameter_size,quantization,num_ctx,prompt_tokens,reps,median_decode_tok_s,median_prefill_tok_s,median_load_ms,vram_resident_mib
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,gpt-oss:20b,17052f91a42e,20.9B,MXFP4,4096,503,3,190.14,9078.28,297.7,14067
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,gpt-oss:20b,17052f91a42e,20.9B,MXFP4,4096,1658,3,187.27,10464.66,279.5,14060
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,gpt-oss:20b,17052f91a42e,20.9B,MXFP4,16384,503,3,188.63,9286.61,299.2,14355
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,gpt-oss:20b,17052f91a42e,20.9B,MXFP4,16384,1658,3,187.73,10554.32,280.2,14355
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:14b,7cdf5a0187d5,14.8B,Q4_K_M,4096,488,3,96.65,5202.23,182.5,10841
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:14b,7cdf5a0187d5,14.8B,Q4_K_M,4096,1674,3,94.48,4876.41,125.8,10855
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:14b,7cdf5a0187d5,14.8B,Q4_K_M,16384,488,3,97.02,5225.96,131.3,13157
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:14b,7cdf5a0187d5,14.8B,Q4_K_M,16384,1674,3,94.58,4864.67,128.9,13159
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,llama3.2:3b,a80c4f17acd5,3.2B,Q4_K_M,4096,471,3,311.96,18196.57,162.8,15682
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,llama3.2:3b,a80c4f17acd5,3.2B,Q4_K_M,4096,1657,3,298.21,17681.08,156.2,15682
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,llama3.2:3b,a80c4f17acd5,3.2B,Q4_K_M,16384,471,3,312.89,17885.62,162.9,5495
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,llama3.2:3b,a80c4f17acd5,3.2B,Q4_K_M,16384,1657,3,298.59,19397.36,158.0,5501
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:7b,845dbda0ea48,7.6B,Q4_K_M,4096,488,3,180.02,10152.28,129.8,6190
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:7b,845dbda0ea48,7.6B,Q4_K_M,4096,1674,3,176.79,9672.39,123.4,6190
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:7b,845dbda0ea48,7.6B,Q4_K_M,16384,488,3,179.66,10133.1,127.9,7022
2026-08-12,llm-throughput-ollama-v1,NVIDIA GeForce RTX 5080,610.88,0.32.1,qwen2.5:7b,845dbda0ea48,7.6B,Q4_K_M,16384,1674,3,176.61,9984.37,127.7,7034
